geometry,centroid,mugs,cens,club,hood
"POLYGON ((-58.45787784038656 -34.52976297486542, -58.45787784038656 -34.53198487562864, -58.46033253706004 -34.53198487562864, -58.46033253706004 -34.52976297486542, -58.45787784038656 -34.52976297486542))",POINT (-58.4591051887233 -34.53087392524704),0,1,0,NUÑEZ
"POLYGON ((-58.45542314371308 -34.52976297486542, -58.45542314371308 -34.53198487562864, -58.45787784038656 -34.53198487562864, -58.45787784038656 -34.52976297486542, -58.45542314371308 -34.52976297486542))",POINT (-58.45665049204981 -34.53087392524704),0,1,0,NUÑEZ
"POLYGON ((-58.46033253706004 -34.53198487562864, -58.46033253706004 -34.53420677639185, -58.46278723373352 -34.53420677639185, -58.46278723373352 -34.53198487562864, -58.46033253706004 -34.53198487562864))",POINT (-58.46155988539678 -34.53309582601025),0,1,0,NUÑEZ
"POLYGON ((-58.45787784038656 -34.53198487562864, -58.45787784038656 -34.53420677639185, -58.46033253706004 -34.53420677639185, -58.46033253706004 -34.53198487562864, -58.45787784038656 -34.53198487562864))",POINT (-58.4591051887233 -34.53309582601025),0,1,0,NUÑEZ
"POLYGON ((-58.45542314371308 -34.53198487562864, -58.45542314371308 -34.53420677639185, -58.45787784038656 -34.53420677639185, -58.45787784038656 -34.53198487562864, -58.45542314371308 -34.53198487562864))",POINT (-58.45665049204981 -34.53309582601025),0,1,0,NUÑEZ
"POLYGON ((-58.46278723373352 -34.53420677639185, -58.46278723373352 -34.53642867715507, -58.465241930407 -34.53642867715507, -58.465241930407 -34.53420677639185, -58.46278723373352 -34.53420677639185))",POINT (-58.46401458207026 -34.53531772677346),0,1,0,NUÑEZ
"POLYGON ((-58.46033253706004 -34.53420677639185, -58.46033253706004 -34.53642867715507, -58.46278723373352 -34.53642867715507, -58.46278723373352 -34.53420677639185, -58.46033253706004 -34.53420677639185))",POINT (-58.46155988539678 -34.53531772677346),0,1,0,NUÑEZ
"POLYGON ((-58.45787784038656 -34.53420677639185, -58.45787784038656 -34.53642867715507, -58.46033253706004 -34.53642867715507, -58.46033253706004 -34.53420677639185, -58.45787784038656 -34.53420677639185))",POINT (-58.4591051887233 -34.53531772677346),0,1,0,NUÑEZ
"POLYGON ((-58.46769662708049 -34.53642867715507, -58.46769662708049 -34.53865057791829, -58.47015132375397 -34.53865057791829, -58.47015132375397 -34.53642867715507, -58.46769662708049 -34.53642867715507))",POINT (-58.46892397541723 -34.53753962753669),3,0,1,NUÑEZ
"POLYGON ((-58.465241930407 -34.53642867715507, -58.465241930407 -34.53865057791829, -58.46769662708049 -34.53865057791829, -58.46769662708049 -34.53642867715507, -58.465241930407 -34.53642867715507))",POINT (-58.46646927874375 -34.53753962753669),2,0,1,NUÑEZ
"POLYGON ((-58.46278723373352 -34.53642867715507, -58.46278723373352 -34.53865057791829, -58.465241930407 -34.53865057791829, -58.465241930407 -34.53642867715507, -58.46278723373352 -34.53642867715507))",POINT (-58.46401458207026 -34.53753962753669),0,1,0,NUÑEZ
"POLYGON ((-58.46033253706004 -34.53642867715507, -58.46033253706004 -34.53865057791829, -58.46278723373352 -34.53865057791829, -58.46278723373352 -34.53642867715507, -58.46033253706004 -34.53642867715507))",POINT (-58.46155988539678 -34.53753962753669),0,1,0,NUÑEZ
"POLYGON ((-58.45787784038656 -34.53642867715507, -58.45787784038656 -34.53865057791829, -58.46033253706004 -34.53865057791829, -58.46033253706004 -34.53642867715507, -58.45787784038656 -34.53642867715507))",POINT (-58.4591051887233 -34.53753962753669),0,1,0,BELGRANO
"POLYGON ((-58.45542314371308 -34.53642867715507, -58.45542314371308 -34.53865057791829, -58.45787784038656 -34.53865057791829, -58.45787784038656 -34.53642867715507, -58.45542314371308 -34.53642867715507))",POINT (-58.45665049204981 -34.53753962753669),0,1,0,BELGRANO
"POLYGON ((-58.44314966034568 -34.53642867715507, -58.44314966034568 -34.53865057791829, -58.44560435701916 -34.53865057791829, -58.44560435701916 -34.53642867715507, -58.44314966034568 -34.53642867715507))",POINT (-58.44437700868241 -34.53753962753669),0,1,0,BELGRANO
"POLYGON ((-58.47506071710093 -34.53865057791829, -58.47506071710093 -34.54087247868151, -58.47751541377441 -34.54087247868151, -58.47751541377441 -34.53865057791829, -58.47506071710093 -34.53865057791829))",POINT (-58.47628806543767 -34.53976152829989),3,0,1,SAAVEDRA
"POLYGON ((-58.47260602042745 -34.53865057791829, -58.47260602042745 -34.54087247868151, -58.47506071710093 -34.54087247868151, -58.47506071710093 -34.53865057791829, -58.47260602042745 -34.53865057791829))",POINT (-58.47383336876419 -34.53976152829989),0,1,1,NUÑEZ
"POLYGON ((-58.47015132375397 -34.53865057791829, -58.47015132375397 -34.54087247868151, -58.47260602042745 -34.54087247868151, -58.47260602042745 -34.53865057791829, -58.47015132375397 -34.53865057791829))",POINT (-58.47137867209072 -34.53976152829989),1,0,1,NUÑEZ
"POLYGON ((-58.46769662708049 -34.53865057791829, -58.46769662708049 -34.54087247868151, -58.47015132375397 -34.54087247868151, -58.47015132375397 -34.53865057791829, -58.46769662708049 -34.53865057791829))",POINT (-58.46892397541723 -34.53976152829989),1,0,1,NUÑEZ
"POLYGON ((-58.465241930407 -34.53865057791829, -58.465241930407 -34.54087247868151, -58.46769662708049 -34.54087247868151, -58.46769662708049 -34.53865057791829, -58.465241930407 -34.53865057791829))",POINT (-58.46646927874375 -34.53976152829989),0,1,1,NUÑEZ
"POLYGON ((-58.46278723373352 -34.53865057791829, -58.46278723373352 -34.54087247868151, -58.465241930407 -34.54087247868151, -58.465241930407 -34.53865057791829, -58.46278723373352 -34.53865057791829))",POINT (-58.46401458207026 -34.53976152829989),0,1,0,NUÑEZ
"POLYGON ((-58.46033253706004 -34.53865057791829, -58.46033253706004 -34.54087247868151, -58.46278723373352 -34.54087247868151, -58.46278723373352 -34.53865057791829, -58.46033253706004 -34.53865057791829))",POINT (-58.46155988539678 -34.53976152829989),1,0,0,NUÑEZ
"POLYGON ((-58.45787784038656 -34.53865057791829, -58.45787784038656 -34.54087247868151, -58.46033253706004 -34.54087247868151, -58.46033253706004 -34.53865057791829, -58.45787784038656 -34.53865057791829))",POINT (-58.4591051887233 -34.53976152829989),0,1,0,NUÑEZ
