nombre,capacidad,geometry
CASTELBAMBA,428,POINT (-58.39375 -34.605027)
REY CASTRO,901,POINT (-58.374727 -34.612002)
LA FRANCE,1372,POINT (-58.390154 -34.605531)
BAHREIN ,880,POINT (-58.371747 -34.60195)
"CLUB 
SHAMPOO",220,POINT (-58.388447 -34.589623)
CITY HALL ,1434,POINT (-58.501884 -34.585999)
IVANOFF,323,POINT (-58.47138 -34.631291)
"MALUCO 
BELEZA",1076,POINT (-58.391179 -34.605601)
XEL - HA,692,POINT (-58.507925 -34.592908)
CLOCHE,588,POINT (-58.394594 -34.589074)
SUDACA,980,POINT (-58.39146899999999 -34.605626)
MOLIERE,531,POINT (-58.370537 -34.615568)
GONG,200,POINT (-58.376047 -34.598835)
EVELYN,452,POINT (-58.470238 -34.630759)
PALACIO ALSINA,2140,POINT (-58.379677 -34.610694)
NICETO CLUB ,1118,POINT (-58.43873199999999 -34.587241)
GLAM ,489,POINT (-58.409546 -34.597005)
PALERMO CLUB ,650,POINT (-58.42146700000001 -34.582366)
TABASCO PUB,999,POINT (-58.472276 -34.631799)
BELLAKEO NIGHT,1260,POINT (-58.470165 -34.630957)
VELVET FRERE,650,POINT (-58.43826 -34.564971)
LATINO 11,1540,POINT (-58.40896899999999 -34.609612)
RETRO,1872,POINT (-58.47475600000001 -34.632229)
CLUB ARÁOZ,1030,POINT (-58.41629 -34.586512)
EL FANTA NORTEÑO,1270,POINT (-58.41535 -34.610722)
TEATRO VORTERIX,1584,POINT (-58.450839 -34.580135)
EL PICAFLOR,662,POINT (-58.414942 -34.604021)
MIND,883,POINT (-58.473457 -34.54174699999999)
THE SHAMROCK,396,POINT (-58.392141 -34.594625)
PHUKET,1593,POINT (-58.427497 -34.624127)
INK,409,POINT (-58.439581 -34.586455)
RADIO STUDIO,3050,POINT (-58.38309399999999 -34.629105)
AMERIKA,2450,POINT (-58.423562 -34.598689)
THE FLOWER,405,POINT (-58.411863 -34.604651)
LE CLICK,990,POINT (-58.393721 -34.609365)
"VIRUS 10,1",216,POINT (-58.471661 -34.631146)
CROBAR,2258,POINT (-58.422813 -34.571534)
MÁGICO,1320,POINT (-58.517999 -34.639)
MUNDO LATINO,300,POINT (-58.37813199999999 -34.601528)
LA CITY,940,POINT (-58.461552 -34.578216)
BRUJAS,264,POINT (-58.43001899999999 -34.588474)
RUANO,254,POINT (-58.396099 -34.588904)
UNI CLUB,630,POINT (-58.41223000000001 -34.602712)
EL TEATRO SUR,2346,POINT (-58.416264 -34.644773)
SEU DISCO,186,POINT (-58.457034 -34.626355)
KIKA,1100,POINT (-58.433328 -34.586432)
COCOLICHE,268,POINT (-58.378938 -34.608307)
PORTO SOHO,604,POINT (-58.426477 -34.592026)
VIPER,238,POINT (-58.448063 -34.556856)
MAIS- UM,504,POINT (-58.467599 -34.632989)
VOX,532,POINT (-58.38004300000001 -34.609589)
THE SUB,415,POINT (-58.37493199999999 -34.598615)
CLUB 947,1702,POINT (-58.375875 -34.619138)
LIQUID BAR,576,POINT (-58.415361 -34.585439)
INPUT,742,POINT (-58.436153 -34.586674)
JANNOY,448,POINT (-58.409424 -34.598173)
CIRCUS,400,POINT (-58.379771 -34.609507)
GROOVE,1685,POINT (-58.423242 -34.579654)
ESVEDRA,586,POINT (-58.370741 -34.614363)
VELVET/DISCOSIX,900,POINT (-58.46525699999999 -34.552355)
YOUR CLUB,520,POINT (-58.379627 -34.601523)
WANNA,539,POINT (-58.435649 -34.58668400000001)
BOUTIQUE,1950,POINT (-58.37468199999999 -34.614192)
ONE MORE CLUB,480,POINT (-58.499948 -34.598601)
BK,961,POINT (-58.435428 -34.586013)
ROOM,784,POINT (-58.424528 -34.590511)
FRIDHA,187,POINT (-58.443025 -34.581492)
LARC,980,POINT (-58.43847099999999 -34.587422)
FRODO´S,425,POINT (-58.370716 -34.614905)
UGARTE,992,POINT (-58.453942 -34.55226)
LP,200,POINT (-58.37982299999999 -34.609022)
ECLIPTICO,743,POINT (-58.47611999999999 -34.632298)
JAGER,950,POINT (-58.438063 -34.587701)
AZUCAR BELGRANO,350,POINT (-58.425776 -34.596613)
VITA,756,POINT (-58.434013 -34.586029)
SITGES,203,POINT (-58.425077 -34.596878)
BLACK CLUB,205,POINT (-58.436432 -34.585559)
AFRIKA,250,POINT (-58.39239300000001 -34.588431)
BEE,376,POINT (-58.435554 -34.585813)
FANTASY,1852,POINT (-58.51785899999999 -34.639008)
