geometry,timestamp,violence
POINT (-58.4613 -34.6425),2016-10-30 23:00:00,Robo
POINT (-58.5201 -34.6399),2016-10-30 07:30:00,Robo
POINT (-58.4205 -34.63800000000001),2016-10-30 06:50:00,Robo
POINT (-58.4879 -34.6361),2016-10-30 22:30:00,Robo
POINT (-58.4642 -34.6301),2016-10-30 06:30:00,Robo
POINT (-58.4675 -34.6295),2016-10-30 03:00:00,Robo
POINT (-58.4563 -34.6283),2016-10-30 06:40:00,Robo
POINT (-58.3754 -34.5987),2016-10-30 23:00:00,Robo
POINT (-58.4774 -34.5982),2016-10-30 00:45:00,Robo
POINT (-58.4082 -34.5981),2016-10-30 06:20:00,Robo
POINT (-58.4173 -34.5978),2016-10-30 05:30:00,Robo
POINT (-58.4189 -34.5978),2016-10-30 05:20:00,Robo
POINT (-58.3738 -34.5897),2016-10-30 01:15:00,Robo
POINT (-58.5001 -34.5878),2016-10-30 00:30:00,Robo
POINT (-58.4511 -34.5794),2016-10-30 04:00:00,Robo
POINT (-58.4565 -34.5785),2016-10-30 22:00:00,Robo
POINT (-58.4656 -34.5637),2016-10-30 23:00:00,Robo
POINT (-58.4504 -34.5632),2016-10-30 02:52:00,Robo
POINT (-58.4877 -34.5585),2016-10-30 05:15:00,Robo
POINT (-58.5261 -34.6406),2016-10-30 22:00:00,Robo
POINT (-58.4634 -34.6409),2016-10-30 22:00:00,Robo
POINT (-58.4584 -34.6171),2016-10-30 04:00:00,Robo
POINT (-58.4539 -34.6055),2016-10-30 06:30:00,Robo
POINT (-58.4476 -34.6225),2016-10-30 03:30:00,Robo
POINT (-58.4476 -34.6025),2016-10-30 07:00:00,Robo
POINT (-58.4398 -34.6381),2016-10-30 06:00:00,Robo
POINT (-58.4396 -34.619),2016-10-30 03:15:00,Robo
POINT (-58.4392 -34.545),2016-10-30 06:40:00,Robo
POINT (-58.438 -34.616),2016-10-30 22:00:00,Robo
POINT (-58.4363 -34.6342),2016-10-30 06:30:00,Robo
POINT (-58.4345 -34.587),2016-10-30 03:30:00,Robo
